Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Report Name""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.042s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Report Name""), ""Report Name"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.059s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Frequency""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.019s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Frequency""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.025s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Frequency""), ""Frequency"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.029s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Active""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.022s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Active""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.028s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Active""), ""Active"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.040s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Add to File Area""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:13,0.033s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Add to File Area""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:13,2019-01-22 21:37:14,0.054s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Add to File Area""), ""Add to File Area"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:14,2019-01-22 21:37:14,0.031s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_File Only""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:14,2019-01-22 21:37:14,0.038s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_File Only""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:14,2019-01-22 21:37:14,0.027s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_File Only""), ""File Only"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:14,2019-01-22 21:37:14,0.081s,PASSED
"verifyElementPresent(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Email and File""), 5, CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:14,2019-01-22 21:37:14,0.023s,PASSED
"verifyElementVisible(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Email and File""), CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:14,2019-01-22 21:37:14,0.029s,PASSED
"verifyElementText(findTestObject(""UI/Employee/Report Manager/Schedule Reports/label_Columns_Email and File""), ""Email and File"", CONTINUE_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-22 21:37:14,2019-01-22 21:37:14,0.057s,PASSED
